utc_date_time,latitude,longitude,geometry,pm2_5_cf_1,pm10_0_cf_1,pm2_5_atm,pm10_0_atm,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2_5_atm_b,pm10_0_atm_b,pm25_aqi_cf_1,pm25_aqi_atm,pm25_aqi_cf_1_b,pm25_aqi_atm_b,temperature,relative_humidity,calculated_heat_index,wet_bulb_temp,wind_speed
2025-10-03 22:30:04+00:00,33.76855846153846,-84.39846269230769,POINT (-84.39846269230769 33.76855846153846),6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,25.0,25.0,29.0,29.0,24.61111111111111,47.7,24.492194444444443,17.11111111111111,0.0
2025-10-03 22:30:05+00:00,33.76857024852071,-84.39846760355029,POINT (-84.39846760355029 33.76857024852071),6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,25.0,25.0,29.0,29.0,24.61111111111111,47.7,24.492194444444443,17.11111111111111,0.0
2025-10-03 22:30:06+00:00,33.768590414201185,-84.39847600591716,POINT (-84.39847600591716 33.768590414201185),6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,25.0,25.0,29.0,29.0,24.61111111111111,47.7,24.492194444444443,17.11111111111111,0.0
2025-10-03 22:30:07+00:00,33.7685970887574,-84.39847878698225,POINT (-84.39847878698225 33.7685970887574),6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,25.0,25.0,29.0,29.0,24.61111111111111,47.7,24.492194444444443,17.11111111111111,0.0
2025-10-03 22:30:08+00:00,33.76861008284024,-84.39848420118344,POINT (-84.39848420118344 33.76861008284024),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.8,24.551833333333338,17.22222222222222,0.0
2025-10-03 22:30:09+00:00,33.76862392899409,-84.3984899704142,POINT (-84.3984899704142 33.76862392899409),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.8,24.551833333333338,17.22222222222222,0.0
2025-10-03 22:30:10+00:00,33.7686376331361,-84.39849568047337,POINT (-84.39849568047337 33.7686376331361),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.8,24.551833333333338,17.22222222222222,0.0
2025-10-03 22:30:11+00:00,33.768652544378696,-84.39850189349112,POINT (-84.39850189349112 33.768652544378696),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.8,24.551833333333338,17.22222222222222,0.0
2025-10-03 22:30:12+00:00,33.768666461538466,-84.39850769230769,POINT (-84.39850769230769 33.768666461538466),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.8,24.551833333333338,17.22222222222222,0.0
2025-10-03 22:30:13+00:00,33.76868073372782,-84.39851363905325,POINT (-84.39851363905325 33.76868073372782),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.9,24.55313888888889,17.22222222222222,0.0
2025-10-03 22:30:14+00:00,33.7687034556213,-84.39852310650888,POINT (-84.39852310650888 33.7687034556213),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.9,24.55313888888889,17.22222222222222,0.0
2025-10-03 22:30:15+00:00,33.76871275739645,-84.39852698224851,POINT (-84.39852698224851 33.76871275739645),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.9,24.55313888888889,17.22222222222222,0.0
2025-10-03 22:30:16+00:00,33.768722059171594,-84.39853085798816,POINT (-84.39853085798816 33.768722059171594),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.9,24.55313888888889,17.22222222222222,0.0
2025-10-03 22:30:17+00:00,33.768731360946745,-84.3985347337278,POINT (-84.3985347337278 33.768731360946745),4.0,5.0,4.0,5.0,8.0,9.0,8.0,9.0,17.0,17.0,33.0,33.0,24.66666666666667,47.9,24.55313888888889,17.22222222222222,0.0
