Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2025-10-02T17:03:44Z,Start,33.78677, -84.39207,270.75832748413086,"",""
2025-10-02T18:19:10Z,End,33.78651, -84.39207,270.5471465084702,"",""
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-10-02T17:31:46Z,2025-10-02T13:31:46Z,1679.996250987053,33.79296, -84.39607,10.881740404614566,275.59382283780724,5.721295466911437,2189.892010770189,1.4276142485384289,1.8403357082417473,0.7629019618034363,23.302637100219727,28.91749382019043,11.513760566711426,-13.453393467908208,0.0
2025-10-02T17:31:47Z,2025-10-02T13:31:47Z,1680.9943959712982,33.79301, -84.39588,14.245954655485411,275.8957616761327,5.477653259784435,2208.4514641956575,2.62291551911141,1.687141729705574,46.454963827823235,15.733917236328125,21.348773956298828,11.521209716796875,-17.262459360439152,0.0
2025-10-02T17:31:59Z,2025-10-02T13:31:59Z,1692.9922779798508,33.79305, -84.39578,14.24595462918757,275.75911721307784,8.206373313705644,2218.8145492559006,1.443697981143387,0.8075041015463479,99.62139600490654,66.8765869140625,72.49144744873047,11.444461822509766,-51.48183094561737,0.0
2025-10-02T17:32:04Z,2025-10-02T13:32:04Z,1697.9921580553055,33.79303, -84.39566,14.245954607615191,275.72302448470145,8.581764362961051,2229.8583378436147,1.3930413822989975,2.6915374516939856,89.78560638427734,60.92325210571289,66.5381088256836,11.537154197692871,65.32534951682364,0.0
2025-10-02T17:32:12Z,2025-10-02T13:32:12Z,1705.9915660619736,33.79302, -84.39555,14.245954554186712,275.73286319803447,7.729617967731344,2240.6372737473084,1.3283485749615505,1.3142982972801065,89.78560638427734,65.35848236083984,70.97334289550781,11.676446914672852,-179.78090013746305,0.0
2025-10-02T17:32:20Z,2025-10-02T13:32:20Z,1713.9918900728226,33.79302, -84.39542,14.2459545298823,275.24021602422,7.346493165494498,2251.845191741172,1.3183591182895036,1.443521954994753,89.78560638427734,77.04737091064453,82.6622314453125,11.41714096069336,-49.67898625326391,0.0
2025-10-02T17:32:27Z,2025-10-02T13:32:27Z,1721.995828986168,33.79302, -84.39531,14.245954595086593,275.5255146175623,8.104760011359675,2262.438083328579,1.1736423095451027,1.4599275949547612,89.78560638427734,84.96611022949219,90.58097076416016,11.327067375183105,-59.31364512771005,0.0
2025-10-02T17:32:34Z,2025-10-02T13:32:34Z,1729.0012480020523,33.79302, -84.39519,14.245954568871277,275.932104726322,7.506812984007316,2273.251901727699,1.4017059895573285,1.2977970741792753,89.0457534790039,76.71170806884766,82.32656860351562,11.459206581115723,43.952986622243905,0.0
2025-10-02T17:32:42Z,2025-10-02T13:32:42Z,1736.991541981697,33.79302, -84.39508,14.24595455343841,276.2229456566274,7.284403143599705,2284.045244096741,1.3476537161059454,1.2278214947879704,89.0457534790039,33.87913131713867,39.493988037109375,11.567534446716309,27.3100317206069,0.0
2025-10-02T17:32:58Z,2025-10-02T13:32:58Z,1752.9933919906616,33.79313, -84.39508,14.245954583510418,275.3596455398947,6.68585023497013,2295.327196704225,1.1158166439147827,1.722127941265746,0.18096923828125,332.3081359863281,337.9230041503906,13.48711109161377,-44.94572563251841,0.0
2025-10-02T17:33:04Z,2025-10-02T13:33:04Z,1758.99123108387,33.79323, -84.39508,14.245954560385325,274.9918725453317,6.492814086179032,2306.3655597784873,1.566135885707665,1.6275183599201108,0.18096923828125,338.30450439453125,343.91937255859375,11.812638282775879,-36.974771315033465,0.0
2025-10-02T17:33:11Z,2025-10-02T13:33:11Z,1765.9905080795288,33.79333, -84.39508,14.245954536204712,274.495069924742,6.8700617708685945,2317.417039152301,1.5822413738170642,1.441824728571737,0.18096923828125,345.47491455078125,351.08978271484375,11.805356979370117,-18.371737114795327,0.0
2025-10-02T17:33:18Z,2025-10-02T13:33:18Z,1772.9973340034485,33.79342, -84.39508,14.245954573705044,274.225354087539,7.261143838213494,2327.763615581957,1.0838364551978739,1.4362969951560733,0.197479248046875,347.1837463378906,352.7986145019531,11.888083457946777,-26.159338928931945,0.0
2025-10-02T17:33:24Z,2025-10-02T13:33:24Z,1778.9904440641403,33.79351, -84.39508,14.245954527954353,273.39005366899073,6.557113239757154,2338.0231583307304,1.6176643643419282,1.2732313696205855,0.197479248046875,34.86491394042969,40.47977066040039,11.6549654006958,-20.408339417149335,0.0
2025-10-02T17:33:33Z,2025-10-02T13:33:33Z,1787.990903019905,33.79361, -84.39508,14.245954569808589,272.2990888534114,6.06669316348274,2349.02109702353,1.42557572722546,1.0627171725988205,0.197479248046875,44.32905197143555,49.94390869140625,11.657224655151367,-9.584281203436957,0.0
2025-10-02T17:33:40Z,2025-10-02T13:33:40Z,1793.9957000017166,33.79370, -84.39508,14.245954537440788,272.3557288432494,4.938486399143819,2359.0636299389516,1.6078511984005497,1.495054791726117,0.197479248046875,82.61750030517578,88.23236083984375,11.76760196685791,-21.850642053279202,0.0
2025-10-02T17:33:41Z,2025-10-02T13:33:41Z,1794.991415977478,33.79363, -84.39516,9.625814769176083,272.15056708827615,4.888982959830871,2369.7304290755774,1.4594645218270326,1.495054791726117,0.197479248046875,71.19659423828125,76.81145477294922,11.773886680603027,-29.396073120394874,0.0
2025-10-02T17:33:49Z,2025-10-02T13:33:49Z,1802.9969110488892,33.79373, -84.39514,9.97654472382806,271.66850692778826,4.754973826249434,2380.3217869975992,1.6642665252805844,1.202864970489103,0.197479248046875,48.85620880126953,54.471065521240234,11.71430778503418,-85.73842584262562,0.0
2025-10-02T17:33:57Z,2025-10-02T13:33:57Z,1810.9900059700012,33.79382, -84.39514,10.27926555372695,271.87751603499055,4.56164028242864,2390.373045031001,1.2213926366233285,1.1040622534553346,0.197479248046875,48.18229675292969,53.79715347290039,11.842962265014648,-44.58990115628785,0.0
2025-10-02T17:34:01Z,2025-10-02T13:34:01Z,1814.994616985321,33.79394, -84.39508,14.245954542769944,272.0995209719986,4.141266698018592,2405.088161610513,0.9112208122754918,1.1040622534553346,0.197479248046875,73.7221908569336,79.33705139160156,11.895644187927246,60.62434606680494,0.0
2025-10-02T17:34:07Z,2025-10-02T13:34:07Z,1820.9900000095367,33.79404, -84.39508,14.24595455418133,271.98882338032126,5.318926362279861,2416.4015023368397,1.413330523619302,1.8409729488872266,0.197479248046875,337.7732238769531,343.3880920410156,11.921958923339844,80.57914271254052,0.0
2025-10-02T17:34:29Z,2025-10-02T13:34:29Z,1843.9897190332413,33.79395, -84.39502,14.245954546362414,270.2899450920522,5.8646781609346466,2427.3043342672763,1.1671999647619713,1.0504100329452577,173.71837748960422,243.98631286621094,249.60116577148438,11.507058143615723,-8.545059535559622,0.0
2025-10-02T17:34:35Z,2025-10-02T13:34:35Z,1849.9900090694427,33.79387, -84.39498,14.24595451275237,270.93278927449137,5.454899095736569,2437.6861659421843,1.3142340235643197,1.9507472633606013,180.2335968017578,253.4927215576172,259.1075744628906,11.614995956420898,-81.11905497283806,0.0
2025-10-02T17:34:46Z,2025-10-02T13:34:46Z,1860.992262005806,33.79377, -84.39498,14.245954569500391,270.2374385818839,5.237780087052226,2448.148942362712,1.606448802274606,1.0908297724060658,180.2335968017578,185.976318359375,191.59117126464844,11.660226821899414,-53.354998231062304,0.0
2025-10-02T17:34:57Z,2025-10-02T13:34:57Z,1871.9937230348587,33.79368, -84.39498,14.245954564405185,271.1850581439212,4.803603607044484,2458.6705993565624,1.2493569145891485,0.9337372536906323,180.2335968017578,185.976318359375,191.59117126464844,11.660226821899414,-28.063758012221264,0.0
2025-10-02T17:35:03Z,2025-10-02T13:35:03Z,1877.9893490076065,33.79352, -84.39506,9.935202389201738,271.4493489600718,4.443020980542575,2477.7291571580054,0.6125978624688524,1.9001513030887278,180.2335968017578,185.976318359375,191.59117126464844,11.660226821899414,25.79533388438035,0.0
2025-10-02T17:35:14Z,2025-10-02T13:35:14Z,1888.9975270032883,33.79346, -84.39498,14.245954532323024,271.4303625347093,4.285907425178009,2488.161721219003,1.3981581946765818,2.2008769397382624,180.2335968017578,161.14004516601562,166.75489807128906,11.481729507446289,145.04902940621955,0.0
2025-10-02T17:35:23Z,2025-10-02T13:35:23Z,1897.9888390302658,33.79336, -84.39498,14.245954565382812,271.5805827546865,4.627940325847498,2498.9033939943142,1.1124449788510777,0.9482429557921112,180.0,155.1223602294922,160.73721313476562,11.618494033813477,-223.3621477264953,0.0
2025-10-02T17:35:31Z,2025-10-02T13:35:31Z,1905.9891350269318,33.79326, -84.39498,14.245954572777714,272.2900390382856,4.837555655244256,2510.142942617371,1.0002257240645271,1.5798321047762267,180.0,165.75376892089844,171.36862182617188,15.826086044311523,18.542213518404154,0.0
2025-10-02T17:35:38Z,2025-10-02T13:35:38Z,1912.9949650764465,33.79316, -84.39498,14.24595456049607,273.31078525818884,4.78351565143146,2520.7795342543563,1.0324188779196355,1.6153488235350393,180.0,171.36663818359375,176.9814910888672,11.711134910583496,12.822647298892631,0.0
