Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2025-10-03T13:14:39Z,Start,33.81055, -84.37157,255.45641541760415,"",""
2025-10-03T13:21:05Z,End,33.81062, -84.37166,253.54925121553242,"",""
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-10-03T13:15:45Z,2025-10-03T09:15:45Z,64.51162600517273,33.81070, -84.37010,2.0113393004712976,256.0125224199146,3.0,139.84223786376222,0.8130012833695188,1.632686517805398,280.47982440211376,333.2321472167969,338.8554382324219,10.0,54.45461403669492,0.0
2025-10-03T13:15:48Z,2025-10-03T09:15:48Z,67.51365506649017,33.81074, -84.36998,2.0097220363385104,257.00283492170274,3.0,151.65508989032,3.282600028055602,1.5942131500080963,53.84512760588901,336.4683837890625,342.0916748046875,10.0,29.4292391132352,0.0
2025-10-03T13:15:51Z,2025-10-03T09:15:51Z,70.51587903499603,33.81076, -84.36984,2.0083354362416936,257.7273795725778,3.0,164.6701608074867,3.9688292853717977,1.5942131500080963,75.83072360431997,343.0627746582031,348.6860656738281,10.0,20.29084307722028,0.0
2025-10-03T13:15:54Z,2025-10-03T09:15:54Z,73.51829898357391,33.81079, -84.36972,2.0071465901459047,258.19402402546257,3.0,176.6902632563454,4.001991139401537,4.0374780702739645,72.7563148989641,338.22991943359375,343.85321044921875,10.0,20.275055620581973,0.0
2025-10-03T13:15:57Z,2025-10-03T09:15:57Z,76.50915205478668,33.81083, -84.36959,2.0061273066287555,259.26036834996194,3.0,188.8737031272592,4.048382093548457,4.0374780702739645,72.40014159917729,337.2713928222656,342.8946838378906,10.0,20.04793425599533,0.0
2025-10-03T13:16:00Z,2025-10-03T09:16:00Z,79.50946605205536,33.81085, -84.36947,2.0052533953611853,259.4939128253609,3.0,200.68703301652872,3.961648236804641,4.046897283812217,73.02692449319922,346.7168273925781,352.3401184082031,10.0,17.606751106642147,0.0
2025-10-03T13:16:03Z,2025-10-03T09:16:03Z,82.50935006141663,33.81086, -84.36934,2.0045041382450637,259.9129579560831,3.0,212.4890936954505,3.899333763354397,4.0715583547485155,83.77759373716215,345.5900573730469,351.2133483886719,10.0,22.450170904735018,0.0
2025-10-03T13:16:05Z,2025-10-03T09:16:05Z,85.51051998138428,33.81088, -84.36921,2.003861736734228,260.6379975331947,3.0,224.437867310277,4.02324978392582,4.0715583547485155,83.89437528166704,357.8642883300781,3.487567663192749,10.0,21.613133771245536,0.0
2025-10-03T13:16:08Z,2025-10-03T09:16:08Z,88.5127739906311,33.81088, -84.36908,2.003310959882991,261.40975425578654,3.0,236.3749200642136,3.764488379071674,4.04575538664731,90.16778632088938,3.3341755867004395,8.957466125488281,10.0,20.225912971964874,0.0
2025-10-03T13:16:11Z,2025-10-03T09:16:11Z,91.51499307155609,33.81087, -84.36895,2.0028387354435835,262.0699701216072,3.0,248.93675432714093,4.118896386389814,4.04575538664731,93.15684138610806,0.17693233489990234,5.800222873687744,10.0,18.71269138282876,0.0
2025-10-03T13:16:14Z,2025-10-03T09:16:14Z,94.51723802089691,33.81085, -84.36882,2.0024338639447192,262.8188756266609,3.0,260.7629493753134,4.014979606700363,4.126349534608123,97.98391079831237,12.799636840820312,18.422927856445312,10.0,19.09532518996771,0.0
